,topic_id,translated_raw,refine_raw
3000,5083,"[quote=""discobot, post:2, topic:5083""]
https://en.wikipedia.org/wiki/Inherently_funny_word
[/quote]

https://en.wikipedia.org/wiki/Inherently_funny_word Hey @jonbas, just checking in because I haven?Ât heard from you in a while.

- To continue, reply to me any time.

- If you?Âd like to skip this step, say `skip`.

- To start over, say `start new user`.

If you?Âd rather not, that?Âs OK too. I?Âm a robot. You won?Ât hurt my feelings. :sob:","Q) Hey @jonbas, just checking in because I haven’t heard from you in a while.
A) Sorry, this is a non-response paragraph."
3001,5088,"Our ethernet board is working properly, but only with a speed of 10Mbit. I run the following initialisation code:

        wiz_PhyConf cnf;

        // Ethernet controller
        CHIPUNLOCK();
        mr2 = (uint8_t)getMR2() | 0x80;     //MR2_CLKSEL;
        setMR2(mr2);
        CHIPLOCK();

        PHYUNLOCK();
        setPHYCR0(0x02);
        setPHYCR1(0x01);
        PHYLOCK();

        cnf.mode = PHY_MODE_MANUAL;
        cnf.speed = PHY_SPEED_100;
        cnf.duplex = PHY_DUPLEX_FULL;
        ctlwizchip(CW_SET_PHYCONF, (wiz_PhyConf*)&cnf);

But when I read PHYSR, it returns 0x13, indicating 10Mbit has been selected. This is also confirmed at the LEDs of the router. What am I missing not to have the controller running at 100 Mbit? Or could it also be a faulty hardware design?

Thanks in advance [quote=""Daan, post:1, topic:5088""]
setPHYCR0(0x02); setPHYCR1(0x01);
[/quote]

There seem to be a mistake for PHYCR0 in datasheet as it says

> Auto Negotiation
> If AUTO is set to ???? SPD and DPX are ignored.
> 1 : Disable Auto Negotiation
> 0 : Enable Auto Negotiation

and it is not clear if bit should be 0 or 1. I propose you to play with this bit, and not set PHYCR0's bit 1 to 1. Thank you Eugeny, that was the trick! PHYCR0 bit 1 should not be set. Now it's running at 100Mbit","Q) What am I missing not to have the controller running at 100 Mbit? Or could it also be a faulty hardware design?
A) There seem to be a mistake for PHYCR0 in datasheet as it says ""Auto Negotiation  If AUTO is set to ???? SPD and DPX are ignored. 1 : Disable Auto Negotiation  0 : Enable Auto Negotiation"" and it is not clear if bit should be 0 or 1. I propose you to play with this bit, and not set PHYCR0's bit 1 to 1. 

Q) Thanks in advance.
A) Thank you Eugeny, that was the trick! PHYCR0 bit 1 should not be set. Now it's running at 100Mbit"
3002,509,"Using wizfi210 in server mode and ad-hoc p2p connection to a PC.


When in command-mode (after issuing +++), i still recieve data from the client-browser. This interferes with the commands i send to the Wifi-module.

Can i disable the input from the connection/browser while in command-mode? I only want to listen on the http-port while in data-mode. The data i get from the browser(?) is following:

""gzip,deflate,sdch""
Accept-Language: en-US,en;q=0.8,sv;q=0.6 Hello Hobbex

There is no option to disable input from the connection.
So, you should parse <input from the connection> and <commands/return>.
 
But, you had better issue ""ATE0"" command.
Refer to the below.

[quote]ATE 
Format ATEn 
  n=0 (Input echo disable) ex) ATE0 
  n=1 (Input echo enable) ex) ATE1 
[/quote]","Q) Can i disable the input from the connection/browser while in command-mode? I only want to listen on the http-port while in data-mode.
A) There is no option to disable input from the connection. So, you should parse <input from the connection> and <commands/return>. But, you had better issue ""ATE0"" command."
3003,5090,"[quote=""roty, post:1, topic:5090""]
As soon as I setup the data path socket (SOCK_INIT with port 20, it was closed before) , I?Âm instantly getting state SOCK_CLOSE_WAIT , then SOCK_LAST_ACK and finally SOCK_CLOSED.
[/quote]

Before ESTABLISHED state, you must issue CONNECT command to the chip. I am sure you do it because CLOSE states you mention will not appear if you do not issue connect. It seems the issue is somewhere in the communication and one of the devices (WIZ or server) terminates the conneciton. The best way to see what is going on is to use Wireshark to capture packets and see what is being exchnaged within the respective TCP session. Install Wireshark on the server (if it is possible). I do not understand. What is ""on time""? If you talk about 15 seconds delay, then probably you are right, control connection may expire. But if you talk about milliseconds, then it should not be the cause.

So what server is saying in the packet before it closes the connection? Do not perform guesses, look into evidence given you already have them. Excuse me if I'm not as precise as I should be.

I do not talk about the Command Port 21 , I just talk about Data Port 20 connection.

Please refer to the first picture I sent. The Client (170) starts short Data transmission  (line 10) on port 20 (FTP-D...) to the Server (19) and immediately ( line 11) the Client sends [FIN][ACK] to the Server (19) also on port 20. Port 20 connection for STOR ends with line 14  on TCP level . This happens within around 20ms , if I'm not wrong. At least that's my interpretation.

I still ""assume"" the socket for port 20 will be closed anyhow in between or after  line 12 and 14.

Regards

Robert [quote=""roty, post:9, topic:5090""]
Excuse me if I?Âm not as precise as I should be.
[/quote]

My apologies, it is me who messed the things. I thought that module is client, but in your case it is server.

So: .19 is FTP server (WIZ) and .170 is FTP client. And server (19) connects to the client (170), and then client (170) sends 211 bytes of data and almost immediately finishes (packet #11).

Am I correct here? Or I have again messed something? [quote=""Eugeny, post:10, topic:5090""]
Am I correct here? Or I have again messed something?
[/quote]

That's absolutely correct.

I'm not an expert and it could be I burk up the wrong tree!

But don't waste your time with me.

Robert [quote=""roty, post:11, topic:5090""]
That?Âs absolutely correct.
[/quote]

But then it means that **client** closes the connection - without receiving anything material - within 26 microseconds! Maybe it has just sent all the data within these 211 bytes - what is the actual data size? [quote=""Eugeny, post:14, topic:5090""]
when you see connection not established any more, you must check for data once more to ensure there?Âs no more data in the buffer waiting to be flushed.
[/quote]

Thanks for explaining.

I absolutely understand what you are saying. BUT, I never see state ESTABLISHED. So there is no
implicite state ""Not Established anymore"".  Of cause, I could check if data are in input buffer as soon
as state SOCK_CLOSE_WAIT and STOR command is detected. Then I could read out and store data first before disconnect data socket. But I never saw such a request, even in the WIN5500 example.

I'll do that if it is a required procedure. [quote=""roty, post:15, topic:5090""]
I never see state ESTABLISHED
[/quote]

This MAY happen because your application is slow. Established state only lasts for a couple of microseconds, and as soon as W5500 receives FIN, its state goes to FIN_WAIT.

In other words, you should look for state ESTABLISHED (0x17) as well as other states following it (>0x17). State 0x17 means that connection is established and you flush data until state changes to >0x17, but if you see state >0x17, then you just check for data and terminate. In any case state >0x17 means there **WAS** a connection established for some time, and you have had active TCP session. Check datasheet, it contains codes beyond 0x17 (SOCK_ESTABLISHED).

So in conclusion I must say that everything seems to work properly in your setup, the only mistake you made is thinking that FIN_WAIT (0x18), SOCK_CLOSE_WAIT (0x1c) is something extraordinary (and most probably was doing wrong things seeing it).

By the way, as a workaround to the speed problem - it is possible that if your MCU is very slow and socket goes in closed state when you arrive to checking it - use socket interrupt state bits. The appropriate bits of Sn_IR will get set (e.g. RECV and DISCON), and seeing these bits set means you had respective activity on the socket. But you must not forget to clear these bits when finishing with the session (and not forget to enable their operation).

Let me know if there's still something unclear on how it works and what you should do. Great answer. 

I'll follow your advice and I'll modify my code as soon as possible according your
decription.

Thanks a lot. I really appreciate you share your knowledge with novice.

Best regards

Robert","Q) What is the issue with the data path socket setup and the subsequent state transition? 
A) Before the ESTABLISHED state, you must issue the CONNECT command to the chip. The issue is likely in the communication between one of the devices (WIZ or server), and the best way to analyze it is to use Wireshark to capture packets and understand the TCP session. 

Q) What does the client and server setup look like in the FTP connection scenario? 
A) .19 is the FTP server (WIZ) and .170 is the FTP client. The server (19) connects to the client (170), and then the client (170) sends 211 bytes of data and almost immediately finishes.

Q) When is it important to check for data in the input buffer in the context of socket states? 
A) When you see the connection is not established anymore, you must check for data once more to ensure there's no more data in the buffer waiting to be flushed. This is especially important in scenarios where the socket goes into the closed state due to slow application processing.

A) This may happen because your application is slow, and the established state only lasts for a couple of microseconds. As soon as W5500 receives FIN, its state goes to FIN_WAIT. 

Q) How should the code be modified to address the speed problem in the MCU? 
A) It is possible that, if your MCU is very slow and the socket goes into a closed state when you arrive to check it, you can use socket interrupt state bits to track the activity on the socket. The appropriate bits of Sn_IR will get set (e.g. RECV and DISCON), indicating respective activity on the socket. 

Great answer. I'll follow your advice and I'll modify my code as soon as possible according to your description."
3004,5099,"I am using the wizfi250 orange board
I want to create a web page or web server and hand over the data to the board.
Is it possible?

I want to update the weather information by region in OpenweatherMap
If you pass the local name on the web server and hand over the data of the local name, it is received from the board.
I want to show the weather in the area ..
It's frustrating because it was blocked from the web interworking ?Â Ã£ÂÂ  As you can see, the Wizfi250 should be implemented with TCP Server and TCP Client.
1. Connection with web server: Wizfi250 (TCP Server) -TCP Client
2. Connection with Weather Information Server: WIZFI250 (TCP Client)

For connection of 1, you need a separate work, such as port forwarding, but if you do not want this work,
The connection of 1 is also used to use MQTT.
** If both methods are not available, it is also possible to design Wizfi250 (TCP Client) -TCP Server.

The link below is an example of utilizing OpenAPI provided by Cocoaf (Orangeboard).
https://kocoafab.cc/make/view/709


In the source code, you can create two sockets by creating two WiFi classes as shown below.

WiFICLEENT1;
WiFICLEENT2;","Q) Is it possible to create a web server and hand over the data to the Wizfi250 orange board?
A) Yes, it is possible to create a web server and pass data to the Wizfi250 orange board. 

Q) I want to update the weather information by region from OpenweatherMap. Can I pass the local name on the web server and hand over the data of the local name to the board?
A) Yes, you can update the weather information by region from OpenweatherMap by passing the local name on the web server and handing over the data to the board. 

Q) How can I establish a connection with the web server and the Weather Information Server using Wizfi250?
A) For the connection with the web server (Wizfi250 TCP Server - TCP Client) and the Weather Information Server (Wizfi250 TCP Client), you can utilize port forwarding or MQTT. If both methods are not available, you can also design the connection as Wizfi250 TCP Client - TCP Server.

Q) Can you provide an example of utilizing OpenAPI provided by Cocoaf (Orangeboard)?
A) You can find an example of utilizing OpenAPI provided by Cocoaf (Orangeboard) at the following link: https://kocoafab.cc/make/view/709.

Q) How can I create two sockets by using two WiFi classes in the source code?
A) In the source code, you can create two sockets by creating two WiFi classes as shown below:
WiFiClient client1;
WiFiClient client2;"
3005,51,"[## Hardwired TCP/IP Chips ##](https://forum.wiznet.io/t/about-the-tcp-ip-chip-category/51/1)

iEthernet is the Ethernet controller chip that includes hardwired TCP/IP Core & MAC (&PHY).

 - [W3150A+](http://www.wiznet.io/product-item/w3150a+)
 - [W5100](http://www.wiznet.io/product-item/w5100)
 - [W5200](http://www.wiznet.io/product-item/w5200)
 - [W5300](http://www.wiznet.io/product-item/w5300)
 - [W5500](http://wizwiki.net/wiki/doku.php?id=products:w5500:start)

For more information, please refer to [TCP/IP Chip Product Comparison Table](http://www.wiznet.io/product/tcpip-chip/) Hi,
We are using the W5100 in a battery operated system, with Ethernet functionality not needed most of the time. Is there a ""software-way"" to put this chip in a low power mode? Can a hardware solution be to pull its RESET line low, when Ethernet is not in use? What will the chip current consumption be in a low power or RESET state? [quote=""Consul, post:4, topic:51""]
Can a hardware solution be to pull its RESET line low, when Ethernet is not in use?
[/quote]
This is good question. According to the datasheet PLL lock depends on the hardware reset signal, and we may suspect that internal chip's high speed (PHY) clock is down during the reset, therefore the consumption will be lower. But I suspect digital part will still be operational, consuming the power, maybe in some static state (will chip have problems being in static state for a long time?).

It was already discussed on the forums, and I recall at least one designer just powered off the chip when it is not needed. The procedure will be the same - you will need to fully reinitialize chip after reset or power off, therefore (3.3v) power off may be a better option. You must ensure the power on and power off slope not to be too fast. Hi,

Thank you for quick answer! The datasheet is rather unclear on power consumption, but according to other threads here it looks that about 150mA current consumption on 3.3V will be in the ballpark, that is with Magjack mounted. When I pull the RESET line low I measure a current reduction of about 10mA in the circuit, ie. not exactly a low power mode. And as you write, the datasheet say nothing about this beeing a safe way to prolonged power down of the device, so it may be a bit risky. Powering down 3.3V to the W5100 is a solution, but that I believe will require special buffers to MCU, if any of its interface outputs should go to 3.3V, even shortly. My conclusion so far is that no easy power down mode exisist for the W5100. [quote=""Consul, post:6, topic:51""]
I believe will require special buffers to MCU
[/quote]
If chip has input protection diodes then current limiting resistors may be enough. Is there a way to disable the PHY section in the 5100 series chips and get a MII/RGMII interface out?

The only chip product I see that doesn't have a Base-T phy in it is the obsolete/nologer-made  W3150A+ 



I need to connect to NOT a Ethernet cable/magnetics and buying a second external phy chip to get back to an MII interface seems very dumb.


I ordered on of the W5100s Eval boards as it seems exactly what I want (minus the Jack, Magnetics, and PHY) which I can do on my own board except how does one disable the phy chip. W5100 datasheet says once it uses MII at the PHY side, seems to be copy-paste issue. No, W5100 does not have MII i/f as is, it has RX/TX for magnetics. I never did it, but you may be able connecting two W5100 chips back-to-back without transformer, if it is ever feasible configuration.","Q) Is there a ""software-way"" to put the W5100 chip in a low power mode? Can a hardware solution be to pull its RESET line low, when Ethernet is not in use? What will the chip current consumption be in a low power or RESET state?
A) According to the datasheet, PLL lock depends on the hardware reset signal, and the internal chip's high speed clock may be down during the reset, resulting in lower consumption. However, the digital part may still be operational, consuming power, possibly in a static state. Powering off the chip is an option, but it will require a full reinitialization after reset or power off, making power off at 3.3V a better option. The power on and power off slope should not be too fast to ensure safety.

Q) The datasheet is rather unclear on power consumption, can you provide more information on this?
A) About 150mA current consumption on 3.3V will be in the ballpark, with the Magjack mounted. Pulling the RESET line low may result in a current reduction of about 10mA in the circuit, but not exactly a low power mode. As for prolonged power down, it may be risky as the datasheet does not mention it as a safe way. 

Q) Is there a way to disable the PHY section in the W5100 series chips and get a MII/RGMII interface out?
A) The W3150A+ is the only chip product that doesn't have a Base-T phy in it. Buying a second external phy chip just to get back to an MII interface seems impractical. The W5100 Eval board may seem suitable for the purpose, minus the Jack, Magnetics, and PHY. Disabling the phy chip in W5100 is not directly mentioned in the datasheet; however, it does not have MII i/f as is and has RX/TX for magnetics.

Thank you."
3006,5105,"[W3150A+] [W5100] [W5200] [W5300] [W5500] [W5100s]
If you specify the name of the product in use in the title as above, you can receive a faster response **.
Please delete this template and leave the inquiry.: slight_smile:
-----------
Hello, I am using the W5100S chip.
Using the M3 MCU, I configured to pass the data received as a Serial to Ethernet, connected it to the PC and Ren, and tried a communication test.I checked, but in the Wireshark of the PC, there is a phenomenon that does not appear.I checked whether the Overflow occurred in Buffer, but it didn't happen at all.The incidence is not high, but if you proceed with a test that repeats communication without rest, it appears once every 10 minutes (no regularity).The Ethernet connection status connects the PC and the Internet hub and connects the W5100s to the hub. [quote = ""kyjoon, post: 1, topic: 5105""]
So take it as a serial
[/Quote]
Hello, the answer was late.
In the case of UDP, packet loss may occur.
If you are worried about the loss of packets, you can use TCP.

thank you","Q) I am using the W5100S chip and I configured to pass the data received as a Serial to Ethernet. However, in the Wireshark of the PC, there is a phenomenon that does not appear. I checked whether the Overflow occurred in Buffer, but it didn't happen at all. The Ethernet connection status connects the PC and the Internet hub and connects the W5100s to the hub.
A) In the case of UDP, packet loss may occur. If you are worried about the loss of packets, you can use TCP."
3007,5109,"https://forum.wiznet.io/t/topic/4975/1

It is solved Thanks for letting us know. We agree there is an issue and we're looking into it.","Q) Thanks for letting us know?
A) It is solved. We agree there is an issue and we're looking into it."
3008,511,"1. We have a 5300 + silabs product, and it does not have any DHCP support code. I can ping it with a direct cable connection from PC. I can ping it through my switch A. There can be multiple devices in the same switch A belonging to a network, say 192.168.1.x. My arp table if fine till this point. If I connect this switch to another switch B belonging to an existing large network with lot of devices, all hell breaks loose. 5300 replies for the first ping, and then it times out. Sometimes, it doesn't even reply for the first ping. If I see THE arp table, I can see that the MAC of 5300 is replaced with something else, and the gateway I entered in 5300  is also present with the same MAC, even though that gateway IP is not a valid IP or valid device! If I change the gateway in 5300 to 0.0.0.0, it doesn't help.  If I replace my 5300 device with another thirdparty device which uses realtek nw chip, with same IP and MAC, that device works fine, and pings well. If I replace 5300 device with a laptop, then the laptop replies for the ping correctly. If I remove the cable connection between this switch and the other network, then the problem disappears. That network has multiple network addresses, 192.168.1.x and 2.xs connected using 2 switches and nothing else, to my knowledge. No IP clash or MAC clash, since I can replace my device with another third party device with same MAC/IP as mentioned before, then it pings fine. If I do not use switch A, and just plug 5300 device into switch B network, the result is same. Some times, if 5300 initiates a connection to a specific PC in switch B,  then from that machine, 5300 can be pinged. Broadcasts from 5300 can also be received in all PCs connected in switch B. I have tried clearing arp table before pinging, specially when I see the arp table being filled with wrong MAC value  of 5300 ie: MAC that does not belong to 5300.
 In short, 5300 doesn't ping correctly in some network, with unknown /many devices !! . But my 5300 device works correctly with 3 or 4 devices in switch A, and can communicate with external word through a gateway also. What could be wrong?

2. Can 5300 negotiate speed with any 10/100/1000 switch / network device? I have tested it with 10/100 and it works fine. I have also posted this at [tomshardware.com/answers/id- ... issue.html](http://www.tomshardware.com/answers/id-2004391/strange-network-issue.html) since the answers from wiznet are generally late, if at all I get them. Got one reply from Tomshardware.com. He suggested that the issue could be arp poisoning. Is there any reason why a similar device (non wiznet serial-ethernet  device) with same MAC and IP doesn't get affected?  wiznet ping reply is hardware processed, and does this have something to do with the issues? Thanks, hjjeon0608 for the reply. Please go through the comments and advice.

1. Actually, I have mentioned that the devices from same network cannot ping wiznet. (ie: if wiznet address is 192.168.1.5 then 192.168.1.x devices are not able to ping. That was the quesiton!). I do not require DHCP at all. static ip address onlyis required. But, when wiznet device is connected to a specific network, ping works only once. When I posted this in Tom's hardware.com. I got the response that, this could be because of arp poisoning. Please check my link. Wiznet mac address is in such a network is somehow being changed.

2. I have tested wiznet using a couple of different makes of switches  of speed 10/100/1000, and it works fine. But I have found some laptops with 10/100/1000 not working. I needed to confirm that, wiznet can work in all 10/100/1000 environments. Speed would be 100 mbps, but what is important is to be able to connect and establish 100 mpps speed without errors. Hi,

To solve arp-poisioning problem, whenever it is reset or the cable is pluged after unpluged, Active send udp data to any peer. By sending udp data, its mac address can be registered into arp-manager agent as switch,gateway,and etc.

In second phase,
We can't guarantee of connection with all network device in the world. 
As you known, Test is limited.
If you tell me about information of devices have some problem, we will cope with the problem passionately.

Thank you. Thank you for the reply.

1. Currently, we are sending data to a specific peer, and from that peer, pinging seem to be working, but with issues. Will create a new subject on that, for clarity

2 I understand that you cannot guarantee connection with all the devices. But I can see that, it  would connect with normal 10/100/1000 ports, and that would be quite sufficient for all purposes. I was merely asking if there are any documented incompatibilities with auto-negotiation with 10/100/1000, and if there is anything specific that we should be aware of. 

Thanking you again. We feel supported and re-assured when questions are answered, or replied to. Hi, rm69.

I contemplated about No.1 problem.

I think arp table of router or switch is changed because there are same IP.
So first, W5300's MAC address is written at ARP table and then another device send ARP packet so MAC address could be changed. And it is looked like ARP poison.

The network are very large so it could be happened.

But I still wonder why ping still works with other device(e.g. laptop).

You may believe W5300 has problem, but the product is launched long time ago and it does not have such problem.
And packet sent by W5300 is standard so I recommend to use like dummy hub for capturing ping packet between A network and B network.

If you can, it help to solve the problem a lot.

Best regards.","Q) We have a 5300 + silabs product, and it does not have any DHCP support code. I can ping it with a direct cable connection from PC. I can ping it through my switch A. There can be multiple devices in the same switch A belonging to a network, say 192.168.1.x. My arp table if fine till this point. If I connect this switch to another switch B belonging to an existing large network with lot of devices, all hell breaks loose. 5300 replies for the first ping, and then it times out. Sometimes, it doesn't even reply for the first ping. If I see THE arp table, I can see that the MAC of 5300 is replaced with something else, and the gateway I entered in 5300 is also present with the same MAC, even though that gateway IP is not a valid IP or valid device! If I change the gateway in 5300 to 0.0.0.0, it doesn't help.  If I replace my 5300 device with another thirdparty device which uses realtek nw chip, with same IP and MAC, that device works fine, and pings well. If I replace 5300 device with a laptop, then the laptop replies for the ping correctly. If I remove the cable connection between this switch and the other network, then the problem disappears. That network has multiple network addresses, 192.168.1.x and 2.xs connected using 2 switches and nothing else, to my knowledge. No IP clash or MAC clash, since I can replace my device with another third party device with same MAC/IP as mentioned before, then it pings fine. If I do not use switch A, and just plug 5300 device into switch B network, the result is same. Some times, if 5300 initiates a connection to a specific PC in switch B,  then from that machine, 5300 can be pinged. Broadcasts from 5300 can also be received in all PCs connected in switch B. I have tried clearing arp table before pinging, specially when I see the arp table being filled with wrong MAC value  of 5300 ie: MAC that does not belong to 5300.
 In short, 5300 doesn't ping correctly in some network, with unknown /many devices !! . But my 5300 device works correctly with 3 or 4 devices in switch A, and can communicate with external word through a gateway also. What could be wrong? 
A) I think arp table of router or switch is changed because there are same IP. So first, W5300's MAC address is written at ARP table and then another device send ARP packet so MAC address could be changed. And it is looked like ARP poison. The network are very large so it could be happened. But I still wonder why ping still works with other device(e.g. laptop). You may believe W5300 has problem, but the product is launched long time ago and it does not have such problem. And packet sent by W5300 is standard so I recommend to use like dummy hub for capturing ping packet between A network and B network. 
Q) Can 5300 negotiate speed with any 10/100/1000 switch / network device? I have tested it with 10/100 and it works fine. I have also posted this at [tomshardware.com/answers/id- ... issue.html](http://www.tomshardware.com/answers/id-2004391/strange-network-issue.html) since the answers from wiznet are generally late, if at all I get them. Got one reply from Tomshardware.com. He suggested that the issue could be arp poisoning. Is there any reason why a similar device (non wiznet serial-ethernet  device) with same MAC and IP doesn't get affected?  wiznet ping reply is hardware processed, and does this have something to do with the issues? Thanks, hjjeon0608 for the reply. Please go through the comments and advice. 
A) To solve arp-poisioning problem, whenever it is reset or the cable is pluged after unpluged, Active send udp data to any peer. By sending udp data, its mac address can be registered into arp-manager agent as switch,gateway,and etc. We can't guarantee of connection with all network device in the world. As you known, Test is limited. If you tell me about information of devices have some problem, we will cope with the problem passionately.
Q) Actually, I have mentioned that the devices from same network cannot ping wiznet. (ie: if wiznet address is 192.168.1.5 then 192.168.1.x devices are not able to ping. That was the quesiton!). I do not require DHCP at all. static ip address onlyis required. But, when wiznet device is connected to a specific network, ping works only once. When I posted this in Tom's hardware.com. I got the response that, this could be because of arp poisoning. Please check my link. Wiznet mac address is in such a network is somehow being changed. 
A) I contemplated about No.1 problem. I think arp table of router or switch is changed because there are same IP. So first, W5300's MAC address is written at ARP table and then another device send ARP packet so MAC address could be changed. And it is looked like ARP poison. The network are very large so it could be happened. But I still wonder why ping still works with other device(e.g. laptop). You may believe W5300 has problem, but the product is launched long time ago and it does not have such problem. And packet sent by W5300 is standard so I recommend to use like dummy hub for capturing ping packet between A network and B network.
Q) I have tested wiznet using a couple of different makes of switches  of speed 10/100/1000, and it works fine. But I have found some laptops with 10/100/1000 not working. I needed to confirm that, wiznet can work in all 10/100/1000 environments. Speed would be 100 mbps, but what is important is to be able to connect and establish 100 mpps speed without errors. Hi, 
A) I understand that you cannot guarantee connection with all the devices. But I can see that, it  would connect with normal 10/100/1000 ports, and that would be quite sufficient for all purposes. I was merely asking if there are any documented incompatibilities with auto-negotiation with 10/100/1000, and if there is anything specific that we should be aware of. Thanking you again. We feel supported and re-assured when questions are answered, or replied to."
3009,5110,"https://forum.wiznet.io/t/topic/4893/1

not required Thanks for letting us know. We agree there is an issue and we're looking into it.","Q) Thanks for letting us know. 
A) We agree there is an issue and we're looking into it."
